Credits: Didier Torny, Anne L'H̫te, Eric Jeangirard

publisher_clean,publisher_group,group_start_date
Nature Publishing Group,Springer-Nature,2015
Springer,Springer-Nature,2015
Palgrave Macmillan,Springer-Nature,2015
Maney Publishing,Informa (Taylor & Francis),2015
Schattauer,Georg Thieme,2017
F1000,Informa (Taylor & Francis),2020
Informa,Informa (Taylor & Francis),2000
Hindawi,Wiley,2021
De Gruyter,De Gruyter Brill,2024
Brill,De Gruyter Brill,2024
PeerJ,Informa (Taylor & Francis),2024
S. Karger AG,Oxford University Press,2026